id,name,description,photo,userId,typologyId,muscleGroupId,modifiedAt,createdAt
1,"Curl con barra","Para ejecutarlo tomamos la barra, pegamos los codos a los costados de nuestro cuerpo y tiramos los codos hacia atrás y debemos subir el peso y bajarlo lentamente hasta estirar el brazo completamente.",ruta_de_la_foto,1,1,1,NULL,"2023-07-10 07:33:22"
2,"Curl Martillo con mancuerna","Colócate de pie, con las rodillas ligeramente flexionadas y coge una mancuerna en cada mano, mantén la espalda recta y los brazos deben estar extendidos a lo largo de los costados.",ruta_de_la_foto,1,2,2,NULL,"2023-07-10 07:33:22"
3,Elíptica,"Consta de dos pedales sobre los que se marcha y de dos barras verticales que se cogen con las manos para ayudar al movimiento de impulsión de las piernas y se hace más fácil el ejercicio.",ruta_de_la_foto,1,1,1,NULL,"2023-07-10 07:33:22"
4,"Cinta de correr","máquina para entrenamiento físico que puede funcionar mediante propulsión eléctrica o manual, y que sirve para correr o andar sin moverse de un mismo sitio.",ruta_de_la_foto,1,2,3,NULL,"2023-07-10 07:33:22"
5,"PREACHER CURL CON MANCUERNA A UNA MANO EN BANCO INCLINADO","Sujetamos las mancuernas con las manos en supinación; flexionamos el codo, contrayendo activamente los bíceps, y luego estiramos los brazos de vuelta al punto inicial, siempre manteniendo una contracción activa de los bíceps.",fbd5a412-579e-4ff0-a280-6523955f384a.jpg,1,1,2,NULL,"2023-07-10 07:35:12"
6,"CURL CONCENTRADO","El curl concentrado es un ejercicio que es sumamente efectivo para lograr el desarrollo muscular de ambos brazos, principalmente porque ejercita cada uno de los músculos más notorios de la región braquial permitiendo aumentar el volumen de los miembros superiores.",3ddfba7e-596c-4cf6-99d4-e46f73a4a09a.jpg,1,1,2,NULL,"2023-07-10 07:36:08"
7,"Curl de martillo con mancuernas","es uno de los ejercicios más conocidos dentro del mundo del fitness. Es un movimiento ideal para desarrollar la zona central del bíceps y el antebrazo.",ab94f809-f87d-45fc-a3ff-a044e4d254c2.jpg,1,1,2,NULL,"2023-07-10 07:36:39"
8,"Dominadas con agarre neutro","Las palmas de las manos se colocan paralelas, es decir, una enfrente de la otra. El agarre, a diferencia de los otros dos, es lateral y permite un movimiento de rotación más natural en las muñecas y los hombros.",0548a17f-dc71-4ffd-8b8c-5421e1e92f4f.jpg,1,1,2,NULL,"2023-07-10 07:37:19"
10,"Spider curl:","Tumbados boca abajo sobre un banco inclinado, con el pecho bien apoyado, realizamos un curl con la mancuerna.",06fc9560-8e95-4654-bb7d-76b9f13f4159.jpg,1,1,2,NULL,"2023-07-10 07:38:54"
11,"Curl tumbado con poleas:","realizamos un curl pero esta vez en polea baja.",0ff51321-712a-48b9-bc5a-dd2de6769948.jpg,1,1,2,NULL,"2023-07-10 07:40:05"
